Priority_Rank,S.No,Item name,Brand_Name,Category,Sub_Category,Ingredients,Serving_Size_g,Sugar_g,Total_Fat_g,OFF_UK_Barcode,OFF_UK_Match_Found_Y_N,Indian_Label_Verified_Y_N,Verification_Source_URL,Notes
63,199,Hershey's Cookies and Cream Milkshake,HERSHEYS,JUICE,MILKSHAKE,"Water, Mik Solids (11%), Sugar, Liquid Giucose, Mineral Caloium carbonate, Emusfiers 4600,Emusfiers 466 471, Cocoa Solids (0.25%), Flavours (Nature Identical and Atificial Flavounng Substances(Vanila loe cream), Edible Common Sat, Seguestrant (3911), Thickeners 415,Thickeners 407, Mineral (Zinc Sulphate), Vitamin E (Acetate), Vitarmin A (Acetate), Vitamin D2 (Ergocaloferol), Vitamin B1 (Thiamine Chloride Hydrochioride), Vitamin B2 (Riboltavin",100.0,29.6,3.3,,,,,
64,374,Hershey's Creamy Milk CHOCOLATE BAR,HERSHEYS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Milk Solids (28%), Cocoa Solids (17.7%), Cocoa Butter, Edible Vegetable Oil (Sunflower and Palm), Emulsifiers (322 (i), 476), Flavour (Artificial Flavouring Substance-Vanillin)",100.0,51.8,32.1,,,,,
65,377,Hershey's Dark CHOCOLATE BAR,HERSHEYS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Solids, Cocoa Butter, Milk Solids, Emulsifiers, Flavour",100.0,52.3,29.7,,,,,
66,409,Hershey's Exotic Dark Blueberry And Acai Chocolate Share Bag,HERSHEYS,CHOCOLATE,CHOCOLATE,"Center (55%): Sugar, Liquid Glucose, Fruit Pulp (10.1%) (Papaya (9.7%), Blueberry (0.2%), Acai (0.2%)), Stabilisers (440,414,331(Iii)), Acidulant (296). Chocolate (45%): Sugar, Cocoa Solids (29.4%), Cocoa Butter, Milk Solids, Emulsifier (322(I)), Liquid Glucose, Stabiliser (1400), Edible Common Salt and Glazing Agent (904)",100.0,57.6,13.5,,,,,
67,388,Hershey's Exotic Dark Chocolate Californian Almonds - With Blackberry Crunchy Dark Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Center (30%): Roasted almonds (29%), Stabilizers (415,1400), Anticaking agent (551) and Blackberry fruit powder (0.15%). Chocolate (70%): Sugar, Cocoa solids (20%), Cocoa butter, Milk solids, Liquid glucose, Emulsifier (322(i)), Stabiliser (1400), Edible common salt and Glazing agent (904)",100.0,36.5,36.3,,,,,
68,414,Hershey's Exotic Dark Pomegranate Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Center (55%): Sugar, Liquid Glucose, Fruit Pulp (9.9%) ((Papaya (9.7%), Pomegranate (0.2%)), Stabilisers (440,414,331 (iii)), Acidulant (296). Chocolate (45%): Sugar, Cocoa solids (29.4%), Cocoa butter, Milk solids, Emulsifier (322(i)), Liquid glucose, Stabiliser (1400), Edible common salt and Glazing agent (904)",100.0,47.6,13.5,,,,,
69,385,Hershey's Exotic Raspberry & Goji Dark Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Center (55%): Sugar, Liquid Glucose, Fruit Pulp (10.1%) ((Papaya (9.7%), Raspberry (0.2%), Gojiberry (0.2%)), Stabilisers (440,414,331 (iii)), Acidulant (296). Chocolate (45%): Sugar, Cocoa solids (29.4%), Cocoa butter, Milk solids, Emulsifier (322(i)), Liquid glucose, Stabiliser (1400), Edible common salt and Glazing agent (904)",100.0,57.6,13.5,,,,,
70,413,Hershey's Kisses Almonds Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Almond Bits (11%), Cocoa Butter, Cocoa Solids, Emulsifiers (322(i), 476), Milk Solids (24%), and Sugar",100.0,40.8,30,,,,,
71,395,Hershey's Kisses Choco Truffle,HERSHEYS,CHOCOLATE,CHOCOLATE,"Milk Chocolate (Sugar, Milk Solids, Cocoa Solids, Cocoa Butter, Edible Vegetable Oil (Sunflower and Palm), Emulsifiers (322, 476), Flavour (Artificial Flavouring Substance - Vanillin)), Center Filling (Edible Vegetable Oil (Palm and Rapeseed), Sugar, Milk Solids, Cocoa Solids, Emulsifiers (322, 476))",100.0,53,32,,,,,
72,384,Hershey's Kisses Cookies 'N' Cream Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"White Chocolate (89%): Milk Solids (34%), Sugar, Cocoa Butter, Cookies (11%): Wheat Flour, Sugar, Edible Vegetable Oil (Palm Oil), Cocoa Solids (10.3%), Emulsifier 322(I), Acidity Regulator 500(II), and Milk Solids, Emulsifiers (476 and 322(I))",100.0,31.2,32.9,,,,,
73,412,Hershey's Kisses Hazelnut 'N' Cookies Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Sugar, Milk Solids (22.1%), Cocoa Butter, Cocoa Solids (11.4%), Hazelnut Bits (5.5%), Cookies (4.5%) (Refined Wheat Flour (Maida), Sugar, Edible Vegetable Oil (Palm Oil), Cocoa Solids (0.5%), Emulsifier (322)), Acidity Regulator (500i)), Emulsifiers (442, 476) and Flavour (Artificial flavouring substance - VANILLA CAKE)",100.0,49.1,33,,,,,
74,363,Hershey's Kisses Milk Chocolate,HERSHEYS,CHOCOLATE,CHOCOLATE,"Sugar, Milk Solids (27%), Cocoa Butter, Cocoa Solids, and Emulsifiers (INS 322(i) and INS 476)",100.0,45.8,27.5,,,,,
75,200,Hershey's Strawberry Milkshake,HERSHEYS,JUICE,MILKSHAKE,"Water, Sugar, Milk Solids (8%*), Emulsifier 460(i),Emulsifier 466,Emulsifier (471), Mineral (Calcium carbonate), Sequestrant (339 (ii), Thickening agent (415), Mineral (Zinc sulphate), Vitamin E (Acetate), Vitamin A (Acetate), Vitamin D2 (Ergocalciferol), Vitamin B1 (Thiamine chloride hydrochloride), Vitamin B2 (Riboflavin), Edible common salt.",100.0,21.4,3,,,,,
76,752,Hershey's Cocoa + Almond Spread,HERSHEYS,SPREAD,CHOCOLATESPREAD,"Sugar, Edible Vegetable Oil (Palm Oil), Milk Solids, Cocoa Solids (4.6%), Almond Paste (2.7%), Hydrogenated Vegetable Fat (Palm Oil and Sesame Oil), Emulsifier (322(i)), Flavours (Artificial Flavouring Substances - Almond and VANILLA CAKE), Edible Common Salt",100.0,61,31.6,,,,,
77,708,Hershey's Cocoa Powder,HERSHEYS,INSTANT FOOD,COCO POWDER,Cocoa,100.0,1.75,11,,,,,
78,772,Horlicks Nutrition Drink Jar,HORLICKS,INSTANT FOOD,MALT,"Malt (65.6%) [Barley (31.3%), Wheat Flour (Atta), Wheat, Millet], Milk Solids (14%), Sugar, Wheat Gluten, Minerals, Emulsifier (INS 471), Edible Iodized Salt, Soy Protein Isolate, Acidity Regulators [INS 501(ii), INS 500(ii)], and Vitamins",100.0,46,2,,,,,
79,773,Horlicks Women's Plus Caramel Drink Mix,HORLICKS,INSTANT FOOD,MALT,"Wheat flour, milk solids",100.0,0,<3,,,,,
80,731,Kellogg's Chocolate Muesli,KELLOGGS,INSTANT FOOD,MUSLI,"Multigrain Mix (43%) (Rolled Oats (26.1%), Rice Flour (6.6%), Corn Meal (5.5%), Refined Wheat Flour (Maida) (2.2%), Wheat Flour (Atta) (2.1%), Ragi Flour, Sorghum Flour), Nuts, Seeds and Dry Fruits (14%) (Almonds (6%), Pumpkin Seeds (4%), Black Raisins (4%)), Sugar, Dark Chocolate Powder (12.9%) (Sugar, Cocoa Solids and Cocoa Butter), Edible Vegetable Oil (Palmolein), Cereal Extract, Cocoa Solids (2%), Liquid Glucose, Iodized Salt, Minerals, Flavours (Nature Identical and Artificial (Cream)), Antioxidant (INS 307b), Raising Agent (INS 500(ii)), Colour (INS 150d), Vitamins",100.0,26.9,15.5,,,,,
81,722,Kellogg's Corn Flakes With Real Strawberry,KELLOGGS,INSTANT FOOD,CEREAL,"Added Flavour (Natural Identical Flavouring Substances), Beetroot Extract, Cereal Extract, Corn Grits (58%), Iodized Salt, Minerals & Antioxidant (INS 320), Sugar, Strawberry Puree (2.5%), Vitamins",100.0,32.5,0.8,,,,,
82,719,Kellogg's Muesli Fruit Nut & Seeds 12-in-1 Power Breakfast,KELLOGGS,INSTANT FOOD,CEREAL,"Added Flavours (Nature Identical & Artificial - Coconut), Antioxidant (INS 3076), Candied Fruits (Candied Cranberry (3%), Candied Papaya (5%)), Corn Grits (18.3%), Corn Meal, Cocoa Solids, Honey, Jodized Salt, Multigrain Mix (66%) (Rice (9.7%), Refined Wheat Flour (Maida), Rolled Barley (8%), Rolled Oats (8%), Ragi Millet Flour (3.5%), Sugar, Wheat Bran), Mineral, Oligofructose, Vitamins, Colours (INS 140, INS 150D), Nut & Seed (21%) (Almonds (3.5%), Black Currants (3%), Black Raisins (3%), Pumpkin Seeds (3.5%))",100.0,20.8,5.1,,,,,
83,721,Kellogg's Multigrain Chocos,KELLOGGS,INSTANT FOOD,CEREAL,"Multigrain Flour Mix (64.8%) (Wheat Flour (Atta) (55.8%), Sorghum (Jowar) Flour (3%), Rice Flour (3%), Corn Meal (3%)), Sugar, Cocoa Solids (5.3%), Minerals, Cereal Extract, Iodized Salt, Colours (INS 150a, INS 150d), Edible Vegetable Oil (Palmolein), Flavours (Nature Identical & Artificial (Cream)), Vitamins, Antioxidant (INS 307b)",100.0,97.5,3,,,,,
84,383,Kinder Creamy Milky And Cocoa With Extruded Rice,KINDER JOY,CHOCOLATE,CHOCOLATE,"Sugar, Skimmed Cow Milk Powder (22%), Palmolein, Palm Oil, Extruded Rice (7.7%), Low Fat Cocoa Powder (2.6%), Emulsifier (Lecithin - INS 322), Powdered Barley Malt Extract, Emulsifier (Lecithin - INS 322), Powdered Barley Malt Extract, Nature-Identical Flavouring Substances",100.0,48.8,31.3,,,,,
85,483,KOPIKO Cappuccino Coffee Candy,KOPIKO,CHOCOLATE,TOFFEE,"Liquid Glucose, Sugar, Edible Vegetable Oil (Palm Olein), Butter (2%), Milk Solids (.8%), Coffee Extract (.5%), Edible Common Salt (Iodised), Emulsifier (Soy Lecithin-322(i)), Natural Food Colours (E15d), Artificial Flavours (Coffee, Milk & VANILLA CAKE).",100.0,55.8,11.6,,,,,
86,261,Lay's American Cream & Onion Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), Seasoning (Sugar, Iodised Salt, Milk Solids, Spices and Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551))",100.0,3.4,33.1,,,,,
87,279,Lay's American Cream & Onion Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), Seasoning (Sugar, Iodised Salt, Milk Solids, Spices and Condiments, Maltodextrin, Flavour, Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551))",100.0,3.4,33.1,,,,,
88,272,Lay's Classic Salted Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein Oil, Rice Bran Oil), Iodised Salt (1%)",100.0,0.6,35.1,,,,,
89,265,Lay's India's Magic Masala Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), Seasoning (Spices and Condiments, Iodised Salt, Maltodextrin, Black Salt, Sugar, Tomato Powder, Acidity Regulators (330, 296, 334), Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), Color (160C))",100.0,2.5,33.1,,,,,
90,303,Lay's India's Magic Masala Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Seasoning (Spices and Condiments, Iodised Salt, Maltodextrin, Black Salt, Sugar, Tomato Powder, Acidity Regulators (330, 296, 334), Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), and Colour (160C))",100.0,2.5,33.1,,,,,
91,275,Lay's Potato Chips - Sizzling Hot Spicy Flavour,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein and Rice Bran Oil), Seasoning (Maltodextrin, Spices and Condiments, Sugar, Iodised Salt, Acidity Regulator (INS 330), Dehydrated Vegetable (Beetroot Powder), Natural Flavouring Substance, Butter Milk Powder, Anticaking Agent (INS 551), Flavour Enhancers (INS 627 and INS 631))",100.0,2.3,33,,,,,
92,353,Lay's Potato Chips WAFERstyle - Salt with Pepper Flavour,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein Oil), Seasoning (Maltodextrin, Iodised Salt, Spices and Condiments, Sugar, Flavour (Natural and Nature Identical Flavouring Substances), Anticaking Agent (551), Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm))",100.0,0.6,33.3,,,,,
93,273,Lay's Spanish Tomato Tango Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, edible vegetable oil (palmolein, rice bran oil), seasoning (sugar, flavour, iodized salt, maltodextrin, spices and condiments, hydrolysed vegetable protein, tomato powder, dextrose, wheat fibre, anticaking agent (551), salt substitute (potassium chloride), edible vegetable oil (coconut), flavour enhancers (627, 631))",100.0,5.6,32.2,,,,,
94,281,Lay's WAFERChips Red Chilli,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Seasoning (Spices and Condiments, Maltodextrin, Iodised Salt, Flavours, Refined Wheat Flour, Black Salt, Hydrolysed Vegetable Protein, Tomato Powder, Acidity Regulators, Yeast Extract, Salt Substitute, Edible Starch, Flavour Enhancers)",100.0,1.6,33.4,,,,,
95,264,Lay's West Indies Hot 'n' Sweet Chilli Potato Chips,LAY'S,SNACKS,POTATOCHIPS,"Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), Seasoning (Sugar, Maltodextrin, Iodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), Spices & Condiments, Flavour Enhancers (627 & 631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking agent (551), Cocoa Solids, Lactose)",100.0,6,32,,,,,
96,181,Limca Lemon Soft Drink,LIMCA,JUICE,SODA,"Added Flavours (Natural, Nature-Identical and Artificial Flavouring Substances - Lemon Flavour), Acidity Regulators INS 330, Acidity Regulators INS 331, Carbonated Water, Preservative (INS 211), Stabilizers INS 414,Stabilizers INS 471, Sugar",100.0,10.7,0,,,,,
97,440,"Cocoa mass, sugar, cocoa butter, VANILLA CAKE",LINDT,CHOCOLATE,CHOCOLATE BAR,"Sugar, Hazelnuts, Cocoa Butter, Milk Ingredients, Cocoa Mass, Lactose, Soya Lecithin, Barley Malt Extract, Artificial Flavour",33.0,14,13,,,,,
98,439,Lindt Excellence 70 % Cocoa Dark Chocolate,LINDT,CHOCOLATE,CHOCOLATE BAR,"Cocoa mass, sugar, cocoa butter, VANILLA CAKE",30.0,9,12,,,,,
99,441,Lindt Excellence 90% Cocoa Supreme Dark CHOCOLATE BAR,LINDT,CHOCOLATE,CHOCOLATE BAR,"Cocoa mass, cocoa butter, low fat cocoa powder, sugar, VANILLA CAKE",30.0,2,17,,,,,
100,448,Lindt Excellence Orange Intense Dark Chocolate,LINDT,CHOCOLATE,CHOCOLATE BAR,"Sugar, Cocoa Mass, Almonds 7%, Orange Juice From Concentrate 3.9%, Cocoa Butter, Anhydrous Milk Fat, Invert Sugar, Lemon Juice From Concentrate, Emulsifier (Soya Lecithin), Pineapple, Gelling Agent (Pectin), Natural Orange Flavouring, and Flavouring",100.0,48,31,,,,,
101,434,Lindt Exotic Milk Cornet Chocolate,LINDT,CHOCOLATE,CHOCOLATE,"Sugar, Vegetable fat (coconut, palm kernel), Cocoa butter, Cocoa mass, Whole milk powder, Skimmed milk powder, Lactose, Anhydrous milk fat, Emulsifier (soya lecithin), Barley malt extract, Flavourings",25.0,11,12,,,,,
102,435,Lindt Lindor Smooth Melting Assorted Chocolates Cornet,LINDT,CHOCOLATE,CHOCOLATE,"Sugar, vegetable fat (coconut, palm kernel), cocoa butter, cocoa mass, whole milk powder, lactose (from milk), skim milk powder, anhydrous milk fat, hazelnuts, emulsifier (soya lecithin), barley malt extract, artificial flavourings (vanillin, caramel)",100.0,40,49,,,,,
103,438,Lindt Swiss Classic Milk Chocolate,LINDT,CHOCOLATE,CHOCOLATE BAR,"Sugar, cocoa butter, whole milk powder, cocoa mass, lactose (from milk), skim milk powder, emulsifier (soya lecithin), barley malt extract, artificial flavouring (vanillin)",33.0,18,10,,,,,
104,528,Lotte Coffy Bite Classic,LOTTE,CHOCOLATE,CANDY,"Sugar, Liquid Glucose, Hydrogenated Vegetable Fat, Milk Solids, Butter, Coffee Extract, Humectant, Iodised Salt, Emulsifiers. Contains Added Nature Identical And Artificial Flavouring Substances (Milk And Coffee)",100.0,58,12,,,,,
105,503,Lotte Eclairs Coffy Bite Toffee,LOTTE,CHOCOLATE,CANDY,"Sugar, Liquid Glucose, Choco Center [Sugar, Cocoa Solids, Milk Solids, Hydrogenated Vegetable Fat, Cocoa Butter, Emulsifiers (E322) Contains Added Flavours Nature Identical Flavouring Substances (Vanillin)], Milk Solids, Hydrogenated Vegetable Fat, Coffee Extract, Emulsifiers (E 322, 471) Contains Added Flavours Nature Identical Flavouring Substances",100.0,55,12,,,,,
106,635,MAGGI 2-Minute Instant Noodles,MAGGI,INSTANT FOOD,NOODLES,"Noodles: Refined wheat flour (Maida), Palm oil, lodized salt, Wheat gluten, Thickeners (508 & 412). Acidity regulators (501(i) & 500(i)) and Humectant (451(1)). Masala Tastemaker: Mixed Spices (26.2%) (Onion powder, Coriander powder, Red chilli powder, Turmeric powder, Garlic powder, Cumin powder, Aniseed powder, Ginger powder, Fenugreek powder, Black pepper powder, Toasted onion powder, Clove powder, Green cardamom powder, Nutmeg powder), Hydrolysed groundnut protein. Refined wheat flour (Maida), Sugar, Starch, Palm oil, lodized salt, Thickener (508), Acidity regulator (330), Flavour enhancer (635), Colour (150d), Mineral and Wheat gluten",100.0,1.8,12.5,,,,,
107,642,Maggi Chicken Instant Noodles,MAGGI,INSTANT FOOD,NOODLES,"Noodles: Refined Wheat Flour (Maida), Palm Oil, Lodised Salt, Wheat Gluten, Thickeners (508 and 412), Acidity Regulator (501(I) and 500(I)) and Humectant (451(I)). Tastemaker: Mixed Spices (22%) (Dehydrated Onion, Dried Garlic, Red Chilli Powder, Black Pepper Powder, Capsicum Extract, Turmeric Powder, Nutmeg Powder, Coriander Extract, Cumin Extract), Sugar, Refined Wheat Flour (Maida), Lodised Salt, Starch, Chicken Meat (5.7%), Palm Oil, Thickener (508), Chicken Fat (2.3%), Natural Flavour, Flavour Enhancer (635), Nature Identical Flavouring Substance, Acidity Regulator (330), Colour (150D), Dehydrated Kasuri Methi Leaves, Onion, Wheat Gluten and Dehydrated Bread",100.0,1.1,11.8,,,,,
108,640,Maggi Chilly Chow Cuppa Noodles,MAGGI,INSTANT FOOD,NOODLES,"Noodles: Refined wheat flour (Maida), Palm oil, lodized salt, Thickeners (412 & 508), Humectant (451(i)) and Acidity regulators (501(1), 500 (i) & 330). Masala Tastemaker: Mixed spices (Dried garlic (20.4%). Red chilli powder (7.7%), Dehydrated onion, Black pepper powder, Star anise powder, Capsicum extract, Nutmeg powder, Coriander ex-tract, Cumin extract), Starch, lodized salt, Refined wheat flour (Maida), Tomato paste (7%), Sugar, Dehydrated carrot bits (6.3%), Thickeners (508 & 415), Toasted onion flakes (4%), Palm oil, Flavour enhancer (635), Acidity regulator (330), Yeast extract powder, Colour (150d) and Wheat gluten",100.0,2.5,16.5,,,,,
109,656,Maggi Korean BBQ Veg Instant Noodles,MAGGI,INSTANT FOOD,NOODLES,"NOODLES: Refined wheat flour (Maida), Palm oil, Wheat gluten, Iodized salt, Thickeners (508 & 412), Acidity regulators (501(i) & 500 (i)) and Humectant (451(i)). TASTEMAKER: Sugar, Soya sauce powder (Soya sauce, Maltodextrin, Iodized salt, Color (150c)), Garlic powder, Red chilli powder (11%), Thickener (508), Iodized salt, Flavour enhancer (635), Natural flavouring substance, Onion powder, Nature identical flavouring substances, Spice extract blend, Palm oil, Curry spice extract blend, Acidity regulator (330), Black pepper, Cinnamon powder, Star anise powder, Colour (150d), Sunflower oil and Rosemary extract. OIL: High oleic sunflower oil, Curry spice extract blend and Spice extract blend",100.0,3.2,13.5,,,,,
110,634,Maggi Masala Cuppa Noodles,MAGGI,INSTANT FOOD,NOODLES," Refined wheat flour (Maida), Palm oil, Iodized salt, Thickeners (412 & 508), Humectant (451(i)), Acidity Regulators (501(i), 500(i) & 330). MASALA TASTEMAKER: Mixed spices (18.4%), Dehydrated vegetables (14.4%) (Carrot flakes (7.5%), Green peas (6.9%)), Sugar, Starch, Iodized salt, Nature identical flavouring substances, Tomato paste (5.6%), Toasted onion flakes (4.7%), Refined wheat flour (Maida), Roasted garlic flakes, Thickeners (508 & 415), Onion powder (2.8%), Palm oil, Herbs, Natural flavouring substance, Yeast extract powder, Flavour enhancer (635), Tamarind powder, Acidity Regulator (330) and Wheat gluten",100.0,3.2,17.2,,,,,
111,655,Maggi Nutri-licious Masala Veg Atta Noodles,MAGGI,INSTANT FOOD,NOODLES,"Herbs, Spices, Vegetables, Wheat Flour (Atta)",100.0,2.5,10.3,,,,,
112,643,Maggi Special Masala Instant Noodles,MAGGI,INSTANT FOOD,NOODLES,"Noodles: Refined wheat flour (Maida), Palm oil, Wheat gluten, lodized salt, Thickeners (508 & 412), Acidity regulators (501(1) & 500 (1)) and Humectant (451(1)). Masala Tastemaker: Mixed spices (35.2%) (+Roasted spice powder (9.3%) (Coriander, Turmeric, Cumin, Aniseed, Black pepper, Fenugreek, Ginger, Green cardamom, Cinnamon, Clove, Nutneg, Bay leaf & Black cardamom), Red chilli powder, Onion powder, Garlic powder, Black pepper powder, Coriander powder, Turmeric powder, Cumin powder, Ginger powder, Aniseed powder, Fenugreek powder, Capsicum extract, Com-pounded asafoetida, Star anise powder, Coriander extract & Cumin extract), Sugar, lodized salt, Refined wheat flour (Maida), Onion, Thickener (508), Starch, Flavour enhancer (635), Yeast extract powder, Palm oil, Dehydrated kasuri methi leaves, Acidity regulator (330), Corn oil, Mineral and Wheat gluten",100.0,2.3,13.1,,,,,
113,450,Maltesers Chocolate,MALTESERS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Skimmed Milk Powder, Cocoa Butter, Glucose Syrup, Barley Malt Extract, Cocoa Mass, Palm Fat, Lactose and Protein from Whey, Whey Powder, Milk Fat, Emulsifiers (Soya Lecithin, E492), Wheat Flour, Palm Kernel Fat, Palm Kernel Oil, Raising Agents (E341, E500, E501), Wheat Gluten, Salt, Glazing Agent (Pectin), Natural VANILLA CAKE Extract",100.0,53,25,,,,,
114,398,Mars Caramel CHOCOLATE BAR,MARS,CHOCOLATE,CHOCOLATE BAR,"Sugar, Liquid glucose, Milk solids, Invert Sugar, Hydrogenated Oil, Cocoa Butter, Cocoa Solids, Fractionated Fat, Emulsifiers (442, 471, 476), Hydrolyzed Vegetable Protein, lodised Salt, Flavours (Natural, Nature Identical and Artificial (Caramel and VANILLA CAKE) Flavouring Substances).",100.0,16.6,16.8,,,,,
115,784,McCain Mini Samosa - Cheese Corn,MCCAIN,INSTANT FOOD,MINI SAMOSA,"Refined Wheat Flour (Maida), Cheese (18.4%) (Cheddar Cheese, Milk Solids, Water, Emulsifier [INS 331 (iii)], Iodised Salt, Anticaking Agent [INS 46]), Water, Cotton Seed Oil, Corn (1.6%), Potato, Onion, Green Chilli (.7%), Iodised Salt, Black Pepper",100.0,5.13,14.8,,,,,
116,783,McCain Smile,MCCAIN,INSTANT FOOD,POTATO FRIES,"Potato (63%), Potato Flakes (13%), Palmolein Oil, Maize Starch, Iodized Salt",100.0,<0.5,7,,,,,
117,52,Mcvitie's Digestive High Fibre Biscuits With Goodness Of Wholewheat,MCVITIES,BISCUIT,BISCUIT,"Refined Wheat Flour (Maida) (43.3%), Edible Vegetable Oil (Palm Oil), Wheat Flour (Atta) (15.3%), Sugar, Wheat Bran (2.5%), Invert Sugar Syrup, Raising Agents (INS 500(ii), Raising Agents INS 503(ii),Raising Agents INS 450(i), Oat Meal, Iodised Salt, Malt Extract, Acidity Regulator (INS 296), Dough Conditioner (INS 223)",100.0,18.1,17.3,,,,,
118,484,Mentos Chewy Dragees,MENTOS,CHOCOLATE,CANDY,"Sugar, Liquid Glucose, Hydrogenated Vegetable Oil, Starch, Thickeners (INS 414, INS 418), Flavour (Natural, Nature-Identical), Emulsifier (INS 473), Glazing Agent (INS 93)",100.0,72,1.8,,,,,
119,490,Mentos Rainbow Assorted Flavour Chewy Toffee,MENTOS,CHOCOLATE,CANDY,"Strawberry Flavour: Sugar, Liquid Glucose, Hydrogenated Vegetable Oil, Acidity Regulators (INS 33, INS 525), Starch, Strawberry Fruit Powder^ (.24%), Thickeners (INS 414, INS 418), Flavour (Nature-Identical), Emulsifier (INS 473), Glazing Agent (INS 93), Colour (INS 127) ^Corresponding To 2 % Strawberry Fruit Juice, Orange Flavour: Sugar, Liquid Glucose, Hydrogenated Vegetable Oil, Acidity Regulators (INS 33, INS 525), Orange Fruit Powder^ (.37%), Starch, Thickeners (INS 414, INS 418), Flavour (Nature-Identical), Emulsifier (INS 473), Glazing Agent (INS 93), Colour (INS 11) ^Corresponding To 2.2 % Orange Fruit Juice, Mint Flavour: Sugar, Liquid Glucose, Hydrogenated Vegetable Oil, Starch, Thickeners (INS 414, INS 418), Flavour (Natural, Nature-Identical), Emulsifier (INS 473), Glazing Agent (INS 93)",100.0,72,1.8,,,,,
120,492,Mentos Strawberry Flavour Toffee,MENTOS,CHOCOLATE,CANDY,"Sugar, Liquid Glucose, Hydrogenated Vegetable Oil, Acidity Regulators (INS 330, INS 525), Starch, Strawberry Fruit Powder^ (0.24%), Thickeners (INS 414, INS 418), Flavour (Nature-Identical), Emulsifier (INS 473), Glazing Agent (INS 903), Colour (INS 127) Corresponding To 2 % Strawberry Fruit Juice",100.0,72,1.8,,,,,
121,420,Milka Raisins & Nuts Milk Chocolate,MILKA,CHOCOLATE,CHOCOLATE BAR,"Sugar, Raisins, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Whey Powder, Hazelnuts, Milk Fat, Emulsifier, Hazelnut Paste, Artificial Vanillin Flavour",100.0,57,30.5,,,,,
122,209,Nestle Milo Health Chocolate Drink with Millets,MILO,JUICE,MILKSHAKE,"Toned Milk (80%), Water, Sugar, Malted barley (1.4%), Millet (Bajra) (1.4%), Cocoa solids (1%), Acidity regulators 340(ii), Acidity regulators 341(ii), Stabilizers 412,Stabilizers 407, VitamINS, Sweetener (960),Mineral",100.0,8.1,2.5,,,,,
123,189,Mirinda Orange Flavoured Soft Drink,MIRINDA,JUICE,SODA,"Carbonated Water, Sugar, Acidity Regulators 330, Acidity Regulators 331, Flavour (Natural Flavouring Substances), Sweeteners 955,Sweeteners 960, Preservative (211), Stabilizer (444), Colour (110)",100.0,6.8,0,,,,,
124,186,Mountain Dew Lemon Soft Drink,MOUNTAIN DEW,JUICE,SODA,"Carbonated Water, Sugar, Regulators 330,Regulators 331, Flavour (Natural Flavouring Substances), Preservative (211), Caffeine (13 Mg/100 G), Stabilizer (445 (iii)), Colour (102)",100.0,12.3,0,,,,,
125,216,BRU Classic Cold Coffee Tetra Pack,NESCAFE,JUICE,COFFEE,"Double Toned Milk, Sugar, Milk Solids, Coffee (0.62%), Stabilizers INS 1440,Stabilizers INS 460 (i),Stabilizers INS 466,Stabilizers INS 407, Acidity Regulator (INS 339 (ii))",100.0,21.8,2.5,,,,,
